text,username,timestamp
"Bolton

Rent: 400 (All bills)
Council Tax: 0
Energy: 0
Water: 0
TV license: 0
Transportation: £30 (I dey trek die)
Wifi/mobile date: £50
Groceries: £60
Clothing: 0 (I carry cloth come UK)
Entertainment: 0 (You will drink juice from the groceries)

Total: £540",oluwafemi,Sun Jul 16 20:10:00 +0000 2023
"Rent =512
Council Tax -Nil (Exemption for now)
Energy (included in Rent)
Water (Included in Rent)
TV license (Included in Rent)
Transportation (110£)
Wifi/mobile date (15£)
Groceries (70-80)
Clothing (I have enough for now)
Entertainment (20£)",Osinachi,Sun Jul 16 10:49:12 +0000 2023
"UPDATED: Average monthly bills for a bachelor in the UK (Birmingham July 2023)

Rent £700 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £100
Water £40
TV license £15
Transportation £150
Wifi/mobile date £60
Groceries £300
Clothing £300
Entertainment £200

Total £1975",SK 🇬🇧🇬🇧,Sat Jul 15 17:19:11 +0000 2023
"Rent: £400
Council Tax: £100
Energy: Free
Water: £30
TV license: No TV
Transportation: £200
Wifi/mobile date: £40
Groceries: 120
Clothing: £40
Entertainment: £4,000
Wucuup: £6,000

Total: £10,930

Someone help me, I don’t know what I’m doing wrong",LGL,Sun Jul 16 13:04:17 +0000 2023
"Birmingham:

Rent: £975
Council Tax: £180
Energy: £100
Water: £28
TV license£ 0
Transportation: £200
Wifi/mobile date: £80 (my phone plus wifi at home)
Groceries: £250
Clothing: £300-£500
Entertainment: £200",nwamaka.,Sun Jul 16 11:58:37 +0000 2023
"Glasgow 

Rent 2bedroom £750
Council tax £177
Energy and water bills £143
TV license £15
Transportation £100
WiFi+mobile data £30
Groceries (family of 4) £350
Clothing £100
Entertainment £80
Black tax £500",Kunle,Sun Jul 16 20:38:58 +0000 2023
"As e dey hot here

Rent - £600
Council Tax - £135
Energy -£100
Water -£38
TV license - £24
Transportation -£80
Wifi/mobile date -£32
Groceries - Depends on how much u eat; usually (£100)
Clothing - depends on taste
Entertainment- depends on how much you like being entertained",🇬🇧The Mayor of Ibadan🇳🇬,Mon Jul 17 12:31:09 +0000 2023
"Rent: £400
Council Tax: Not paying for now
Energy: inclusive in rent
Water: inclusive in rent
TV license: Don't need it
Transportation: £70
Wifi/mobile date: inclusive in rent
Groceries: £100
Clothing: Buy as u go( not budgeted)
Entertainment: what's that??",Jerome,Mon Jul 17 12:01:36 +0000 2023
"Location: Iyana Borough  

Rent £550
Council Tax £160
Energy &amp; Gas £140
Water £41
TV license £13
Fuel £200 
Wifi/mobile date £45
Groceries £300
Entertainment £100",smug,Sun Jul 16 11:27:21 +0000 2023
"Rent 
Council Tax 
Energy 
Water 
TV license 
Transportation 
Wifi/mobile 
Groceries 
Clothing 
Car insurance 
Car Finance 
Black tax 

If she can’t do 50/50, she’s not ready to support her man. 

Nigerian men also need a support system. 

Bills dey choke.",🎙OLUOMO OF DERBY 🇳🇬 🇬🇧,Mon Jan 22 16:31:54 +0000 2024
"Nigerians in the UK. 

What is the average monthly bills in your city? 

Rent 
Council Tax 
Energy 
Water 
TV license 
Transportation 
Wifi/mobile date 
Groceries 
Clothing 
Entertainment",Nigerians in the UK 🇳🇬🇬🇧,Sun Jul 16 08:50:04 +0000 2023
"Average monthly bills for a bachelor in the UK (location Birmingham)

House rent £500 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £70
Water £40
TV license £15
Transportation £110
Wifi £25
Mobile data £20
Groceries £200
Clothing £300
Miscellaneous £100

Total £1490",SK 🇬🇧🇬🇧,Wed Jun 22 22:34:58 +0000 2022
"Rent : God provides(mat 6:25-28) 
Council Tax : Matt 22:20-22
Energy: Phil 2:12-13(msg)
Water -John 4:14
TV license: flex  
Transportation : na God o
Wifi/mobile date : vibes 
Groceries : Phil 4:19
Clothing : unlimited
Entertainment:unlimited",Queen Pope (•͡.̮~͡),Sun Jul 16 20:46:13 +0000 2023
"Rent— £1,300
Council Tax — let me ask my husband 
Energy— £500
Water— £150
TV license -£0
Transportation- £0, I work from home
Wifi/mobile date— £200
Groceries— £700
Clothing —£500
Entertainment —I’m an introvert 

🌚🌚",Opeyemi Feyisike 🧣🧣,Sun Jul 16 19:07:17 +0000 2023
"Greenwich Peninsula, London

Rent: £2800 [2BR, 2T]
Council Tax: £185
Energy: £70
Heating: £35
Water: £30
TV license: £15
Transportation: £120
Wifi/mobile date: £21 / £31
Groceries: £150
Entertainment: £100 max",UGO 🇬🇧,Sun Jul 16 11:33:16 +0000 2023
"THIS IS MY MONTHLY EXPENSES IN LAGOS

RENT: ₦500
Council tax: ₦5
Energy: ₦15 
Water: ₦1
Transportation: ₦25
TV license: FREE, JUST NTA 
Wi-Fi and Data: ₦20 
Groceries and African food: ₦200
Clothing: ₦45
Entertainment: ₦2
Eat out: ₦4

UK PEOPLE, LET US BREATHE.",𝓐𝓚….𝓐𝓿𝓽𝓸𝓶𝓪𝓽 𝓚𝓪𝓵𝓪𝓼𝓱𝓷𝓲𝓴𝓸𝓿𝓪,Sun Jul 16 18:48:37 +0000 2023
"London In Jesus Name:

Rent £1500 (2bd)
Council Tax (£150)
Energy (£100)
Water (£100)
TV license (£90)
Transportation (£90)
Wifi/mobile date (£90)
Groceries (£100)
Clothing (£50)
Entertainment (£100)

Don’t say anything, just RT and move… “ape mo’ra eni la n pe temidire”",Digital Marketing Analyst | DataFestAfrica2024,Mon Jul 17 15:57:02 +0000 2023
"Bills I have to settle by next week🤦🤦

Rent - 6500
KPLC Token - its free 
WiFi - 2000
Child support/fees -N/A
Water - free
Black Tax - black tax ni ndoe
Sacco - N/A
Loans -1000
Mum's shopping - ako na bwana 
My shopping -10,000

Total - Ksh 19,500  simple life 💜

You?",Wambui Murindo,Mon Jan 29 15:13:01 +0000 2024
"Rent— £1,300
Council Tax —I evade it 
Energy— £500
Water— £150
TV license -£0
Transportation- £0, I work from home
Wifi/mobile date— £200
Groceries— £500
Clothing —£400
Entertainment —£0. I’m an introvert",CHECK YOUR DM,Sun Jul 16 19:03:41 +0000 2023
"Rent - 495
Council Tax - 0 
Energy - 0
Water - 0
TV license - 0 
Transportation - 61
Wifi/mobile date - 10
Groceries - 60
Clothing - 100
Entertainment - 50",Blackhole,Mon Jul 17 21:13:53 +0000 2023
"People forget that when you rent a property it isn’t ONLY rent you have to pay for!!

Household bills:
TV licence
Gas
Electric
Water
Council Tax
Broadband
A TV package of some kind (Sky, BT or Virgin)

Then there’s food shopping which adds up quickly!!!

Then you have to think",Photographer,Sun Jan 27 12:49:44 +0000 2019
"#bbcgms tell us 6% of Scotland’s population struggle to pay council tax. It’s not based on pop but household. 270,000 of approx 2.5m homes, disregarding those not eligible to pay, suggest it’s closer to 15% - a shocking stat and one to remember when BBC bang on about Govt freeze. https://t.co/0DaM3cdCH2",Phantom Power,Mon Mar 04 07:17:52 +0000 2024
